Nuclear mean intensity,Cytoplasmic mean intensitiy,File Path
0,1,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_0_0.tif
0,1,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_0_1.tif
54.23621010226216,7.000549725945448,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_0_2.tif
67.71602224233803,6.870563709704756,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_0_4.tif
83.6473560121253,8.958748889108325,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_0_5.tif
66.38546669450825,14.165704023685871,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_0_6.tif
50.13384292565947,9.383675683324293,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_0_7.tif
59.85226683265899,5.442338911562562,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_0_8.tif
49.19628647214854,26.063730469172086,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_100_0.tif
35.04524775605557,3.813272582391762,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_100_1.tif
79.86270682282952,11.647831745098863,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_100_10.tif
112.1252403185938,6.96594661403088,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_100_11.tif
127.3960378681627,9.972761213650944,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_100_12.tif
0,1,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_100_13.tif
65.92928571428571,10.330848253595539,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_100_2.tif
0,1,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_100_4.tif
0,1,/Volumes/KINGSTON/Final_Training_Dataset/VC/vc_cells_norm/vc_100_5.tif
